Singe,Gorille,Chimpanze,Babouin
Ours,Panda,Koala,Grizzly
Aigle,Faucon,Vautour,Buse
Requin,Dauphin,Baleine,Orque
Fourmi,Abeille,Guepe,Frelon
Mouche,Moustique,Taon,Libellule
Escargot,Limace,Lombric,Chenille
Serpent,Lezard,Tortue,Crocodile
Grenouille,Crapaud,Triton,Salamandre
Lierre,Vigne,Ronce,Fougere
Feuille,Branche,Tronc,Racine
Pétale,Tige,Epine,Pollen
Graine,Noyau,Pepin,Bulbe
Nuage,Brume,Brouillard,Fumee
Glace,Banquise,Glacier,Iceberg
Vague,Maree,Courant,Houle
Grotte,Caverne,Gouffre,Abime
Falaise,Pic,Crete,Versant
Plaine,Prairie,Champs,Lande
Marais,Etang,Tourbiere,Lagune
Aurore,Crepuscule,Aube,Zenith
Comete,Asteroides,Météore,Satellite
Volcan,Cratere,Lave,Magma
Seisme,Secousse,Tremblement,Vibration
Printemps,Eté,Automne,Hiver
Sève,Resine,Ambre,Latex
Miel,Cire,Gelée,Venin
Plume,Poil,Ecaille,Carapace
Bec,Griffe,Corne,Sabot
Queue,Nageoire,Aile,Patte
Oeuf,Nid,Terrier,Ruche
Meute,Troupeau,Essaim,Banc
Hibou,Chouette,GrandDuc,PetitDuc
Lapin,Lievre,Marmotte,Ecureuil
Souris,Rat,Mulot,Hamster
Cerf,Chevreuil,Elan,Renne
Elephant,Rhino,Hippo,Girafe
Zebre,Gazelle,Antilope,Gnou
Cigale,Grillon,Sauterelle,Criquet
Araignee,Scorpion,Acarien,Crabe
Corail,Anemone,Eponge,Meduse
Etoile,Oursin,Crevette,Crabe
Pingouin,Manchot,Puffin,Albatros
Perroquet,Perruche,Cacatoes,Toucan
Canari,Moineau,Mésange,Pinson
Corbeau,Pie,Geai,Corneille
Lilas,Muguet,Lavande,Jasmin
Sapin,Epicea,Meleze,Cedre
Bambou,Roseau,Canne,Jonc
Cactus,Gras,Succulente,Aloes
Champignon,Moisissure,Levure,Lichen
Algue,Plancton,Varech,Mousse
Givre,Rosée,Frimas,Verglas
Cyclone,Tornade,Typhon,Tempete
Abysse,Fosse,Fond,Surface
Canicule,Secheresse,Aridite,Chaleur
Froid,Gel,Frimas,Glacial
Ombre,Lumiere,Rayon,Reflet
Eclat,Lueur,Scintillement,Phare
Son,Bruit,Echo,Silence
Odeur,Parfum,Senteur,Effluve
Saison,Climat,Meteo,Temps
Nord,Sud,Est,Ouest
Horizon,Lointain,Infini,Bord
Terre,Monde,Globe,Sphère
Nature,Vie,Monde,Espace
Sauvage,Libre,Naturel,Brut
Animal,Vegetal,Mineral,Humain
Mont,Puy,Pic,Dome
Val,Combe,Gorge,Ravine
Baie,Golfe,Anse,Rade
Istme,Cap,Pointe,Promontoire
Silex,Quartz,Granit,Marbre
Or,Argent,Cuivre,Fer
Diamant,Rubis,Emeraude,Saphir
Charbon,Petrole,Gaz,Uranium
Vol,Nage,Course,Saut
